id,place_name,city,description,image_url,time,distance,price,age,lung,motion,sight,r_r,a_r,h_r,m_r,n_r,s_r,c_r,e_r
2134,Birsa Munda Park ,Dhanbad," Birsa Munda Park has the distinction of being the only park in the city of Dhanbad. It is a major tourist attraction spread over 21 acres of land having a walking path, lawns, a canteen, a playground and toy rides for children. The Birsa Munda Park was opened in November 2009 and has since contributed immensely to the growth of the region. It is often regarded as the stepping stone to various other projects that are coming up in the city. Birsa Munda Park is rightly counted as a must-visit destination and offers varied activities for people of all age groups.  ",https://www.holidify.com/images/cmsuploads/square/vsdvdsv_20190308140424.jpg,2.5,6.9,2200,1,1,0,0,8.4,7.5,5.6,6.5,7.5,6.4,5.1,4.3
2135,Panchet Dam ,Dhanbad," The Panchet Dam is located in the district of Dhanbad in Jharkhand. The last to be built out of the four multi-purpose dams that were constructed under the Damodar Valley Corporation or DVC, the Panchet Dam first opened in 1959. The dam gets its name for the nearby Panchet Hill that rises above the dam. It is a favourite tourist spot and easily accessible for day trips from Dhanbad and Asansol. Built across the Damodar River that forms a natural border between Jharkhand and West Bengal, the Panchet Dam is constructed above the confluence of the Barakar and Damodar Rivers. The northern flank of the reservoir thus falls under the Dhanbad district, and the southern bank is under the Purulia district of West Bengal. ",https://www.holidify.com/images/cmsuploads/square/sfsaf_20190308141310.jpg,5.9,3,3300,-1,0,1,0,8.3,8.8,6.6,1.6,7,2.3,5.3,9.4
2136,Shakti Mandir ,Dhanbad," The Shakti Mandir is one of the pride of Dhanbad and gathers several devotees to the city all year round. The temple is located in the very heart of the city on the Thorapathak Road and is devoted to the Goddess Durga. The reason for the temple standing out amongst the several temples situated here, being a nationally known temple is the fact that Shakti Mandir owns the Akhand Jyoti or the eternal flame which is brought down from Vaishno Devi. The sacred temple is thus crowded on special occasions such as Diwali, Dussehra, and Tuesdays and Fridays of every week, which is considered as unique by devotees of the Goddess. ",https://www.holidify.com/images/cmsuploads/square/sdabsjdas_20190308142519.jpg,3.8,1.5,1700,1,0,0,0,3.9,4.4,6.5,7.7,4,8.9,5.3,4.4
2137,Lillori Sthan Mandir ,Dhanbad, The Lillori Sthan Mandir which is dedicated to the Goddess Kali is an important temple situated at the banks of River Katri and a distance of 18.5 kilometres from Dhanbad. The reason for its importance is the fact that the Goddess Kali is said to be a protector in this region and many devotees of Goddess Kali are the locals of Dhanbad. Many of the rituals performed or the festivals celebrated in Dhanbad are located at this temple. One such festival is the Kali Puja which crowds the temple up with devotees and leaves a rare atmosphere in the air. ,https://www.holidify.com/images/cmsuploads/square/maxresdefault_20190308142656.jpg,4.6,3.5,3800,0,0,1,0,5.2,4.1,7.1,3.5,1.8,8.1,1.9,3.3
2138,Golden Temple ,Amritsar," Also called Sri Harmandir Sahib or Swarna Mandir, the shrine was designed by Guru Arjan Sahib and its foundation laid by Muslim saint Hazrat Mian Mir ji of Lahore on 1st December, 1588. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_479585620_20191024174904_20200407155734.jpg,3.3,9,3400,0,1,0,1,8.6,5.3,9,5.7,4.6,3.6,2.9,3.5
2139,Wagah Border ,Amritsar, Wagah Border is a road border between India and Pakistan. It is a famous tourist spot nowadays because of the famous beating retreat ceremony that is held every day before sunset. Almost 5000 people visit the border to be a part of this ceremony. The flag ceremony is conducted by the Indian Border Security Force and Pakistan Rangers.  ,https://www.holidify.com/images/cmsuploads/square/attr_1382_20190212190438jpg,3.2,6.1,900,0,0,1,1,7.5,8.2,6.5,6.7,3.5,1.8,8.7,4.8
2140,Jallianwala Bagh ,Amritsar," Jallianwala Bagh is a place of great historical importance during the Indian struggle for Independence. It is a public garden in Amritsar which houses a memorial of national importance that was established by the government of India in 1951 to commemorate the massacre of peaceful celebrators  by British forces on April 13,1919.  ",https://www.holidify.com/images/cmsuploads/square/1254_20190213124533jpg,5.9,3.9,3500,1,1,0,1,2.8,6.2,1.7,2.6,2,8.4,7.3,8.3
2141,Guru Ke Mahal ,Amritsar," Housing the Granth Sahib and their gurus, Guru Ke Mahal was founded by Guru Ram Das in 1573 as a little cottage that went on to shelter the great gurus of the Sikhs. ",https://www.holidify.com/images/attr_square/1174.jpg,2.3,1.3,3300,1,0,1,0,1.9,7.4,4.5,3.6,4.3,4.6,8.6,8
2142,Hall Bazaar ,Amritsar," Offering electronic items, ornaments, best quality books, handicrafts and ready-made garments, Hall Bazaar is famous for its Mughal style gate, complete with a giant clock with caption ""Amritsar - Sifti Da Ghar"". ",https://www.holidify.com/images/cmsuploads/square/1250_20200501080910.jpg,5.9,2.2,3100,0,1,0,0,2.9,2.4,2.3,2.1,9.5,2,9.4,6.3
2143,Maharaja Ranjit Singh Museum ,Amritsar," Summer palace turned into museum, Maharaja Ranjit Singh Museum is a lovely building which archives the Royal Heritage of Maharaja Ranjit Singh such as arms and armour, outstanding paintings and century old coins and manuscripts.Â  ",https://www.holidify.com/images/cmsuploads/square/1256_20200501082017.jpg,2.7,5.3,2100,0,1,0,0,7.9,8.9,2.7,7.6,3,2.2,6.5,8.8
2144,Gurudwara Mata Kaulan ,Amritsar," Gurudwara Mata Kaulan is located on the edge of Kaulan reservoir, is named after Kaulan, a believer who was severely punished by the patriarchs, yet it failed to dissuade her. ",https://www.holidify.com/images/cmsuploads/square/1252_20200407161136.jpg,2.9,7.7,1300,-1,0,1,0,9.1,6.1,3.8,7.6,4.9,5.7,7.9,7.2
2145,Bibeksar Sahib ,Amritsar," Bibeksar Sahib lying on the banks of Bibeksar Sarovar was constructed by Maharaja Renjith Singh. The place is famous as the congregation site of followers of 6th Sikh Guru, Hargobind Singh ji. ",https://www.holidify.com/images/cmsuploads/square/1253_20200407163342.jpg,3.7,2.7,2000,-1,1,0,0,4.8,9,6.9,4,7.9,8,9,4.5
2146,Partition Museum  ,Amritsar," The Partition Museum, the first-ever museum in the entire world to focus on the stories and trauma of the millions who had to suffer from the bloody consequences of a ruthless partition; was recently opened up at Town Hall in Amritsar.  ",https://www.holidify.com/images/cmsuploads/square/amritsar-partition-hindustan-partition-amritsar-survived-bloodshed_45a9af0e-8292-11e7-aa81-8a4dce36eef3_20171211205434.jpg,2.8,2.1,1500,-1,0,0,0,1.6,3,8.7,9,3.7,4.1,6.4,3.8
2147,Khair-ud-Din Masjid ,Amritsar," Famous for its architecture, Khair-ud-Din Masjid was established by Mohd. Khairuddin. It was the place from where the great call for waging war against the looting British was announced by Tootie-e-Hind, Shah Attaullah Bukhari. ",https://www.holidify.com/images/cmsuploads/square/38938306951_44536632b3_b_20190116134819.jpg,5.9,8.1,1000,0,0,0,0,3.1,3.3,2.8,7.6,8.7,2.7,4.5,5.4
2148,Dukh Bhanjani Ber Tree ,Amritsar," Dukh Bhanjani Ber Tree which means reliever of pains and afflictions is considered the most sacred tree in Amritsar. This fascinating Tree has an interesting legend, where Bibi Rajaniâ€™s leprosy stricken husband was cured completely after taking a dip in the pond near the tree. The tree was then named Dukh Bhanjani which means â€˜eradicator of sufferingâ€™. Visitors of Golden Temple usually have a dip in this pond in hopes of being cured and blessed. Guru Ram Das told his Sikhs and Baba Budha Ji that the pond was the same holy place of which Guru Amar Das Ji had foretold.  The faith of Bibi Rajni of keeping the belief in Guru and God, resulting in being rewarded at the end, is still followed and looked up to. ",https://www.holidify.com/images/cmsuploads/square/Dukh_Bhanjani_Ber_tree_and_entrance_gate_near_the_Langar_at_the_Golden_Temple_20180414002142.jpg,2.7,5.4,2800,1,1,0,1,5.6,4.3,2.7,8.5,6.4,4.2,5.2,9.2
2149,Akal Takht ,Amritsar," Akal Takht (Throne of the Immortal) is the highest political institution of the Sikhs, founded by Guru Hargobind in 1606. Akal Takht is located in the front of the causeway leading to the Golden Temple, Amritsar.  ","https://www.holidify.com/images/cmsuploads/square/Akal_Takht_illuminated,_in_Harmandir_Sahib_complex,_Amritsar_20180413162451.jpg",4.9,6.8,2100,1,0,0,0,3.9,2.5,8.2,5.1,3.2,4.3,5.8,2
2150,Gobindgarh Fort ,Amritsar," Gobindgarh Fort echoes the grand stories of Punjabâ€™s past. Widely known as a symbol of the era when Punjab was forged, it represents a glorious past of 257 years starting with the Bhangi Misl era and ending with the Indian Army  ","https://www.holidify.com/images/cmsuploads/square/Zamzama_-_Front_View-_Gobindgarh_Fort,_Amritsar_20180414004335.jpg",3.3,8.9,3000,-1,0,0,0,4.5,2.5,7.9,2,8.3,8.9,7.1,2
2151,Durgiana Temple ,Amritsar," Durgiana Temple, also known as Lakshmi Narayan Temple, Durga Tirath, Silver Temple and Sitla Mandir, is a Hindu temple bearing a stark resemblance to the Golden Temple.  ","https://www.holidify.com/images/cmsuploads/square/Durgiana_Temple,_Amritsar_20180414003824.jpg",5.5,6.5,3000,0,0,1,1,7.6,3.4,4.9,3.5,5,7.5,8.8,9.4
2152,Goindwal Baoli ,Amritsar," Goindwal Baoli is a step-well, constructed in the 16th century by Guru Amar Das. The Baoli (open-well) is located on the banks of the River Beas and is an important Sikh centre, and is one of the first Sikh pilgrimage sites.  ",https://www.holidify.com/images/cmsuploads/square/Gurudwara_Goindwal_Sahib_20180414005025.jpg,3.1,4.9,600,0,0,1,1,6.5,9.3,3.4,5.4,5.3,9.2,6,1.9
2153,Gurudwara Chheharta Sahib ,Amritsar," Gurudwara Chheharta Sahib, named after a well which was dug by Guru Arjan Dev for the birth of his son. Although the well is now covered up, the water is usually pumped into the main tank of the Gurudwara. The water was so abundant that six Cheheharta (Persian wheels) were installed around the well to draw water faster. The gurudwaraâ€™s lotus dome encloses the square sanctum in the middle of the diwan hall.  ",https://www.holidify.com/images/cmsuploads/square/11487_645998798792262_1897620077_n_20180415195924.jpg,5.4,8.5,3400,-1,0,1,1,6.8,6.7,9.3,3.3,9.2,7.8,3,3.4
2154,Gurudwara Bir Baba Budha Sahib ,Amritsar," Gurudwara Bir Baba Budha Sahib, also known as Bir Sahib, is where Baba Budha Ji spent most of his life. Baba Buddha who lived for 125 years has blessed five succeeding Gurus.  ",https://www.holidify.com/images/cmsuploads/square/Gurdwara_Bir_Baba_Budda_Sahib_20180420174248.jpg,5.3,5.8,2600,1,0,0,1,7.6,3.2,2.7,5.1,5.5,1.9,8.7,8.6
2155,Harike Wetland ,Amritsar," Harike Wetland & Bird Sanctuary is the largest wetland in North India. This man-made wetland spreads into Tarn Taran Sahib, Ferozepur and Kapurthala in Punjab, making it a famous destination for bird watchers and nature enthusiasts. Tourists can spot up to 7 species of turtles including the endangered Testudines turtle. The previously extinct Indus dolphin was recently seen at Harike Wetland. ","https://www.holidify.com/images/cmsuploads/square/Bird_-_Harike_Wetlands,_Punjab_20180416101256.jpg",5,1.7,3300,0,0,1,1,8.5,7.4,2,9.4,5.8,8.9,5.3,8.5
2156,Tarn Taran Sahib ,Amritsar," Gurudwara Shri Tarn Taran Sahib was built by the fifth Guru of Sikhs - Guru Arjan Dev. It is located 22 kms from Amritsar. Gurudwara Shri Tarn Taran Sahib is a three-storeyed building lotus dome, damaged during the 1905 earthquake. The Gurudwara displays elegant craftwork of glass pieces and intricate designs on the ceiling and the inner walls.  ","https://www.holidify.com/images/cmsuploads/square/The_Sarovar_besides_the_GurudwaraTarn_Taran_Sahib,_Punjab,_India_20180416101054.jpg",2.8,3.5,3900,1,0,0,0,5,9.2,3.3,3.3,7.5,4.5,5.4,5.8
2157,Khalsa College ,Amritsar," Khalsa College is a 124-year-old college, making it a historic educational institution in India. The 300-acre campus has acquired the status of the highest Sikh institute for education with an enriching environment and a progressive outlook towards society.  ",https://www.holidify.com/images/cmsuploads/square/Khalsacollege_3_20180420173522.jpg,4,6.3,600,0,0,0,1,7.6,7.9,7,1.9,6.8,8,7.6,4.2
2158,Shri Ram Tirth Temple ,Amritsar," Shri Ram Tirth Temple is the birthplace of Luva - Kusha, twins of Rama and Sita in the Ashram of Saint Balmiki. Built in yellow stone the temple dates back to the Ramayana as Sita was given shelter here after being abandoned by Rama. The battle of the Ramâ€™s force and Luv-Kush ",https://www.holidify.com/images/cmsuploads/square/1-banner_20180416101750.jpg,2.6,6.9,3000,-1,1,1,0,4.9,2.1,8.8,8.9,5.1,9,6.1,2.5
2159,Mata Lal Devi Temple ,Amritsar, Mata Lal Devi Temple popularly known as Sheesh Mahal of Amritsar is famous among the Hindu pilgrims for its miraculous powers. The temple is dedicated to the female saint Lal Devi and is considered a miniature dimension of the popular Vaishno Devi temple in Jammu.  ,https://www.holidify.com/images/cmsuploads/square/Mata_Lal_Devi_Mandir-Amritsar-India04_20180416101450.JPG,2.9,2.1,1500,0,1,1,1,5.5,8.5,4.5,5.9,1.7,9.1,6.3,7.2
2160,Punjab State War Heroes Memorial and Museum ,Amritsar," Punjab State War Heroes Memorial and Museum showcases the fabulous brave-hearts of Punjab. The Museum immortalizes the bravery of the soldiers of Punjab, displayed throughout the museum with a spirit of patriotism.  ",https://www.holidify.com/images/cmsuploads/square/7-14-_20180421111350.jpg,5.8,2.5,2100,1,0,1,1,4.3,3.3,2,5.4,7.7,1.9,3.5,9.3
2161,Pul Kanjari ,Amritsar," Pul Kanjari, popularly known as Amritsarâ€™s Taj Mahal, is a village based on the vibrant expression of love by Maharaja Ranjit Singh. Constructed for Moran, a Muslim dancer, the town was one the most important trading centres during the 18th century.  ",https://www.holidify.com/images/cmsuploads/square/animal-ramp-in-the-pul-kanjari-monument_20180416102831.jpg,2.2,1.4,1700,1,1,0,1,6,3.5,4,2.9,5.8,4,2.7,6.5
2162,Bathinda Fort ,Amritsar," Bathinda Fort or Qila Mubarak is an age old fortress in Bathinda. Built by Raja Dab and King Kushana, the fort is believed to be the exact place where Razia Sultan was confined.and Guru Nanak Dev, Guru Tegh Bahadur and Guru Gobind Singh visited this place. Later, Maharaja Karam Singh built a gurudwara here for the pilgrims ",https://www.holidify.com/images/cmsuploads/square/Bathinda_fort_view_20190116144716.jpg,5.7,8.1,1000,1,1,0,1,9.1,7,2.7,2.8,3.4,8.2,1.7,6.7
2163,Gurudwara Baba Atal Rai ,Amritsar," Gurudwara Baba Atal Rai is a gurudwara dedicated to Baba Atal Rai, son of Guru Har Gobind Singh who passed away at the young age of nine. The 9 storey building was then built in his memory where each storey was symbolic of a year in Atal Raiâ€™s life.  ",https://www.holidify.com/images/cmsuploads/square/Baba_Atal_Amritsar_20180416103557.jpg,4.9,6.9,1600,1,0,1,1,6,4.3,4.6,1.8,7.6,6.8,6.3,8.9
2164,ISKCON Temple ,Amritsar," Situated in the heart of the city in Moni Chowk, ISKCON Temple (also known as Sri Gaur Radha Krishna Mandir) is a revered Hindu temple dedicated to the Hindu gods Krishna and Radha. The temple houses idols of several deities, Radha- Krishna being the most prominent. A tiny shop also sells statues of deities, religious books and related merchandise ",https://www.holidify.com/images/cmsuploads/square/36157073000_08796a65ab_z_20190319162211_20190319162235.jpg,4,8.3,1100,0,1,1,0,4.1,8.5,4.7,4.5,3.6,5.9,4.2,8.9
2165,Sun City ,Amritsar," Situated on the Batala Road in Amritsar, Sun City Water Park is one is one of the most popular and visited water parks in the city. Replete with a plethora of water rides, regular rides, aqua dancing, roller coasters, several swimming pools, the water is the ideal hangout destination among both the adults and the kids. ",https://www.holidify.com/images/cmsuploads/square/s_20181123171831_20181123172115.PNG,4.7,1.7,1500,1,0,0,1,1.8,6.9,9.1,7.7,7.7,9.2,2.8,5.9
2166,Rainbow Resorts Water Park ,Amritsar," Situated on the Attari Border Road in Amritsar, Rainbow Resorts Water Park offers multi activities. Spread over nine acres of land area, the resort has swimming pools, adventure park, go-karting, paint ball, kitty party hall, boating, restaurant etc. ",https://www.holidify.com/images/cmsuploads/square/activity_poll_20181123173037_20181123173535.jpg,2.3,5,1000,-1,1,0,1,8.7,3.6,2.7,2.8,5.8,5.5,6.5,7.9
2167,Thunderzone Amusement and Water Park ,Amritsar," Founded and opened to public in 2002, Thunderzone Amusement and Water Park is one of the largest  and most popular water cum amusement park in the city. With an array of rides like columbus, mono train, roller coaster, music bob, swinging chairs and activities like boating etc., the park is an ideal day out place for all age groups. ",https://www.holidify.com/images/cmsuploads/square/mono_train_20181123175352_20181123175742.jpg,3.2,4.9,3000,0,1,1,0,3.6,4.6,2.2,3.5,6.4,2.1,8.4,2.3
2168,Bliss Aqua World ,Amritsar, Bliss Aqua World is an amazing water park in Amritsar with a variety of regular and water rides both for adults and kids. The park also has an amusement park in the premises which has a number of fun games and activities as well. ,https://www.holidify.com/images/cmsuploads/square/8132487208_79bdfe1853_b_20190319163625_20190319163702.jpg,5.7,6.1,1900,0,1,0,1,3.5,2.2,8.4,2.3,5.7,5.1,1.9,8.7
2169,Gurudwara Baba Deep Singh Ji ,Amritsar," Located in Amritsar outside the Chatiwind gate is Gurudwara Baba Shaheed Deep Singh Ji, honouring the valour and martyrdom of Baba Deep Singh Ji, which is why it is also known as the Shahidan Sahib. He was specially renowned for his contribution during 1757 when he fought the Afghani troops led by Ahmed Shah Abdali, from attacking, invading, and blowing up the Golden Temple. He fought bravely alongside thousands of others but was fatally wounded during the fight. ",https://www.holidify.com/images/cmsuploads/square/800px-An_open_page_from_Guru_Granth_Sahib_of_Sikhism_20200331154231.jpg,4.7,6.6,3100,1,0,0,1,4.3,8.7,6.6,3.1,6.6,5.5,5.2,5.1
2170,Gurudwara Goindwal Sahib ,Amritsar," Located in the Tarn Taran district of Punjab on the banks of river Beas is Gurdwara Goindwal Sahib which is another famous Sikh site. It is known as the 1st Sikh pilgrimage site and is where the 3rd Sikh Guru, Sri Guru Amar Das Ji, lived and preached for 33 years. It is also where he coined the idea of langar or community kitchen and where he built a baoli or well from where people of all caste, colour, creed and religion could drink from. ",https://www.holidify.com/images/cmsuploads/square/GoindwalSahib_20200125122513.jpg,2.8,4.2,1500,1,1,0,1,3,8.8,9.2,7.8,5.6,5.9,6.1,1.9
2171,Pakhal Lake ,Warangal," Around 50 kmÂ away from Warangal city is the beautiful Pakhal Lake which is spread over an area of 30 sqÂ km. Set amidst the lush green forests and hills, the human-made lake forms a highly picturesque location.The lake alsoÂ borders a wildlife sanctuary located at its shore.Â The chirping of birds mingled with rejuvenating breeze and tranquillity makes it a favourite spot for picnics and nature enthusiasts. ",https://www.holidify.com/images/attr_square/3938.jpg,2.5,1.7,900,0,1,1,1,3.3,5.2,8.6,6.2,1.8,3.1,6.6,1.8
2172,Thousand Pillar Temple ,Warangal," The Thousand Pillar Temple is an ancient temple that is tucked away in a small town named Hanamakonda in the vibrant state of Telangana. As the name suggests, the temple has over one thousand pillars, some of which are a part or extension of adjacent pillars! These pillars are so tightly knit, they practically form the walls of the temple. Constructed in a star-shaped architecture, the Thousand Pillars Temple is a popular pilgrimage centre which welcomes more than 1000 devotees almost every day. The temple also contains a huge monolith Nandi, made up of black basalt stone. The three shrines located in the temple are together known as Trikootalayam.  ",https://www.holidify.com/images/attr_square/3942.jpg,2.3,1.8,1200,0,0,1,0,4.8,2.5,7.9,7.4,6.8,2.7,8,2.8
2173,Ramappa Temple ,Warangal," Ramappa Temple, was constructed in the architectural style unique to South India during the Kakatiya rule in the 12th century. This temple is revered a lot by the Hindu community and is considered to be the greatest gift to its future generations by the Kakatiya Kings. ",https://www.holidify.com/images/cmsuploads/square/attr_3939.jpg,4.2,7,2200,1,0,0,1,8.6,8,3.4,6.1,6.9,5.6,4.3,9
2174,Warangal Fort ,Warangal," A prominent landmark of the Telangana state and an apt example of architectural excellence and historical richness of the yore, the Warangal fort is situated in Warangal. The city is also known as Oru Kallu, which means 'a single stone'. Locals believe the city was built on a single rock in the medieval era. Sprawlingly spread across a stretch of 19 km between Warangal & Hanamkonda, this 12th-century fort is a prominent historical attraction in Telangana. Every year thousands of enthusiastic tourists flock in to witness the historical and architectural marvel of this region.Â  ",https://www.holidify.com/images/cmsuploads/square/attr_3943.jpg,5.4,2.9,500,-1,0,1,0,4.8,4.1,3.9,8.3,2,5.3,6.4,6
2175,Eturnagaram Wildlife Sanctuary ,Warangal, Surrounded with a regal air it borrows from older times is the Eturnagaram Wildlife Sanctuary or Eturnagaram forest wildlife refuge which is located nearby Warangal town. ,https://www.holidify.com/images/attr_square/3934.jpg,2.3,3.5,3400,0,1,0,1,3.8,7.6,5.6,5.9,7.8,5,2.7,3.6
2176,Bhadrakali Temple ,Warangal," The Kakatiya Dynasty left behind numerous instance of their rich heritage and elaborate architecture. The Bhadrakali Temple, is one such structure which was built in the eight century. ",https://www.holidify.com/images/cmsuploads/square/attr_3932.jpg,3.7,5.6,3000,0,1,1,1,9.2,6.1,2.5,1.8,5.6,9.5,3.3,6.3
2177,Kakatiya Musical Garden ,Warangal," This one of a kind, enchanting Musical garden in Warangal is located nearby the famous Bhadrakali temple. A massive garden, it overs a total of 15 acres. ",https://www.holidify.com/images/attr_square/3935.jpg,4.8,5.9,2400,-1,1,0,1,7.7,8,7.2,3.7,5.8,2.3,8.8,5.1
2178,Kakatiya Rock Garden ,Warangal," This rock garden had been constructed keeping in mind the comfort of the locals. It is a beautiful garden which is located close to the fort temple. This garden encloses many marvelous structures in rocks which are lively, like the statues of deer, lion, giraffe, sambar, antelopes etc. ",https://www.holidify.com/images/attr_square/3936.jpg,4.9,2.1,1700,1,0,1,1,4.2,9.5,8.8,4.8,5.8,8.9,5.1,1.6
2179,Padmakshi Temple ,Warangal," A temple , dedicated to Goddess Padmakshi, dating back to early 12th century houses instance of some exquisite architecture and a pillar that gather about itself much fascination by its visitors. The Annakonda Pillar, a quadrangular pillar stands at the entrance of the structure. ",https://www.holidify.com/images/attr_square/3937.jpg,3.5,6.3,3700,-1,0,0,0,3.8,3.6,5.1,8.7,2,5,4.4,3.9
2180,Shopping in Warangal ,Warangal," While in Warangal, shop for handicrafts that the town is known for. One can head to the emporiums and bazaars in the city for shopping. ",https://www.holidify.com/images/attr_square/3933.jpg,4.1,2.8,3500,0,0,0,1,7.1,6.9,6.4,6.5,4,8.5,7.4,9.5
2181,Siddeshwara Temple ,Warangal, The Siddheshwara Temple is an ancient temple dedicated to Lord Shiva and is located very close to Hanamkonda in Warangal. The temple's architecture is stunning and bears resemblance to the Chalukyan style of architecture. ,https://www.holidify.com/images/cmsuploads/square/SiddeshwaraTemple_20200305105958_20200305110026.jpg,2.4,1.5,1800,1,1,1,1,3.5,4.9,2.2,6.2,5.5,9.4,4.3,7.3
2182,Laknavaram Lake ,Warangal," Warangal is prominent for the several remarkable lakes it has incorporated in its topography, it was also the former capital of Kakatiya dynasty. Laknavaram CheruvuÂ orÂ LaknavaramÂ Lake is a man-made wonder tucked away from civilisation in the Govindaraopet just 80 kilometres from Warangal, cradled by lush green dense forest cover and glorious hills. Laknavaram lake in the Bhupalpally district in the state of Telangana is locally famous by the name of Laknavaram Cheruvu. The lake amasses an area of over a whopping 10,000 acres. and was built by the Kakatiya clan when Warangal served as their capital. ",https://www.holidify.com/images/cmsuploads/square/View_of_Laknavaram_lake%252C_from_suspension_bridge_20190116143959.jpg,2.3,7.9,2500,0,0,1,1,7.3,9,4.7,4.3,5.7,7.1,1.7,8.6
2183,Sri Veeranarayana Temple ,Warangal," Sri Veeranarayana Temple, an ancient temple built around 1104 AD, is a highly revered temple located at Kolanupaka in Warangal District. This shrine encloses Shri Veeranarayana, who is considered to be an incarnation of Lord Vishnu as the main deity. ",https://www.holidify.com/images/attr_square/3941.jpg,2.2,3.3,900,1,0,1,1,7.1,1.9,5.4,8.6,6.9,8.1,8.9,4.1
2184,ISKCON Warangal ,Warangal, ISKCON Warangal was established to propagate the teachings of the Bhagwad Geeta and inculcate Krishna Consciousness within a larger population in the region. The temple complex is a well maintained place of worship that offers a tranquil atmosphere to learn and soak in the divine powers of the deity. ,https://www.holidify.com/images/cmsuploads/square/6242435675_692da368f7_b_20190412151821.jpg,5.1,8.3,2300,-1,1,0,0,6.5,8.4,5.4,7.2,1.6,8.2,5.7,3.5
2185,Sri Vidya Saraswathi Shani Temple ,Warangal," Sri Vidya Saraswathi Shani Temple complex has shrines dedicated to Goddess Saraswathi, Lord Shani, Lord Ganesha and Lord Shiva. The complex was built by a scholar in the field of astrology and an ardent devotee of the Goddess. The temple has a famous Victory Pillar which bears the sculptures of Lord Rama, Goddess Sita, Lord Laksmana, and Goddess Lakshmi. ",https://www.holidify.com/images/cmsuploads/square/7329043018_38d8412d98_z_20190306123721_20190306123756.jpg,4.5,7.3,300,-1,1,1,1,8.1,9.5,3.5,7,2.6,8.7,2.1,7.8
2186,"Mini Zoo, Warangal ",Warangal," Mini Zoo was built in 1985 and is a famous attraction expanding over 50 acres of land with a number of species of animals, reptiles and birds thriving in a beautifully maintained green zone. The zoo has now been converted into a National Zoological Park and also houses an enchanting Butterfly Park. ",https://www.holidify.com/images/cmsuploads/square/Asiatic_Lioness_in_Gir_Forest_20190412145828.jpg,3.6,5,200,0,1,0,0,5.9,6.6,5,7,1.8,1.6,2.1,8.3
2187,Kulpakji Jain Mandir ,Warangal, Kulpakji Jain Mandir is an ancient temple considered to be of great significance to the Jain community. It is believed that the original idol of Lord Adinath was installed here. The temple complex houses idols of eight Jain Teerthankaras as well. The temple architecture with stunning stone carvings draws tourists in large numbers. ,https://www.holidify.com/images/cmsuploads/square/640px-Jain_temple_warangal_20190306122454_20190306122513.jpg,4.3,8.3,1600,1,1,0,1,8.4,2.8,4.9,5.9,7.1,3.4,9.4,5.5
2188,Inavolu Mallanna Temple ,Warangal, Inavolu Mallanna Temple is an ancient temple dedicated to Mallikarjun Swami who is believed to be an incarnation of Lord Shiva. It was built by the Karkatiya Kings in the 11th century. The astounding temple architecture with beautiful carvings on the pillars and the walls emphasise on the religious importance the shrine had during their reign. The annual Mallana Jatra is celebrated with great enthusiasm at the temple. ,https://www.holidify.com/images/cmsuploads/square/dc-Cover-affr2jiohsola661qg7kig6kg6-20180722005247.Medi_20190412144157.jpeg,3.8,3.7,2500,0,0,0,0,8.9,1.8,3.4,1.8,6.6,9.3,6.9,6.5
2189,Govindarajula Gutta ,Warangal, Govindarajalu Gutta is a hill surrounded by dense forestation which is a treat to nature lovers for nature walks and trekking. One can get a breathtaking view of the city from the top of Govindarajalu Gutta. A small temple dedicated to Lord Rama is situated on the hill. ,https://www.holidify.com/images/cmsuploads/square/7969817254_e40fe35101_b_20200305115654_20200305115725.jpg,3.5,7.5,3500,1,1,1,1,1.8,7,1.6,7.1,3,4.7,6.7,7.1
2190,Rayaparthy Shiva Temple ,Warangal, Rayaparthy Shiva Temple is an 18th-century temple dedicated to Lord Shiva. The temple is an architectural treat with inscriptions and beautiful carvings amidst the scenic beauty of the location. ,https://www.holidify.com/images/cmsuploads/square/Shiva_Temple_Warangal_20190116144002.JPG,5.4,7.9,700,1,1,0,1,5.8,3.2,7.8,4.9,5.7,2.2,9.3,2.6
2191,Medaram ,Warangal," Located in the district of Warangal in Telangana, Medaram is a tiny village. WithÂ a scanty population of approximately 3000 people, the most noticeable thing about the dainty village is it's rich and vibrant aesthetics. Medaram is popular not only in India, but is a name known in the world due to its 'Sammakka Sarakka Jatara', which is Asia's biggest biennial tribal fair. It is a grand and pompous fair that attracts millions of pilgrims to the village. You can taste peculiar and true village life, even in the 21st century only at this magnificent village. Besides, If there is one other thing that makes Medaram the next destination on your bucket list- it is the sheer scenic beauty of nature. ",https://www.holidify.com/images/cmsuploads/square/dc-Cover-p0vvoo4n1mgv6upv5u02a1cdu1-20160221063620.Medi_20190412142119.jpeg,3.9,9.2,700,1,1,0,1,2.6,2.4,5.3,1.7,5.2,3.6,9.2,7.7
